username,comment
aurora_fawnia,drh Niki yang telaten banget merawat Mixxy.. ngga akan lupaaa.. 👍👍.. semangat terus berkarya ya Dok
ronald.hansen,👍🙏🙏trimakasih @houseofpetmalang
deasyersya13,mantap
omah_kucing_jalanan,Terus kucing yg sudah steril kenapa bisa kena?
ilonacherie,Dokternya ganteng sekaliiiiii... Iya gakk? @triyohanangln @bethasimanjuntak 😍
muchlis.afandi36,Dok @nikiherlambang donk sekali pdahal ketemu periksakan gecko enak diajak sharing mind
deysipuri,Dokter Idolaaquee... 😍😍👍👍
adetyara,Terbaeek...👏
okahanuraga_,dokter dr smua hewanku🤣terbaekkk🙌
fahrezaputra__,Semangaat terus dok. Sehat selaluu
fatmarosss,Dokternya kevin😍😍😍😍 sabar bangett makasih dok ❤️❤️
hafifchrn,Dokternya hachi ❤
metaling_supriyanto,Dokter yg ngobatin kiko pas bayi sampek sehat dan sekarang tumbuh jadi endut menggemaskan. Makasih dokter ❤
nenikusumawardani,"Hallo dokter deasy yg ayu...smg sehat2 sll ya dok.., dpt slm dr meong moci dok...😊😊"
agussetiono76,"Dokter paling ramah di HOP, sangat baik melayani dan menjawab pertanyaan dari pengunjung. Sukses selalu bu dokter..."
nunungweasley,❤❤❤
mykucingiscat,Dokter yg jait kaki kucingkuuu 👏
ajengadistianindyajati,"Temen : km pelanggan setia house of pet bgt ya. Tiap ada apa2 ama anabul mu ampe bela2in selalu kesana. Gue : nganu, dokter nya ganteng 😎"
azizaninur,Dokter favorit owner kucing ini
susilow9094,Keren 👍👍
risayuwan,Sukses terus kkaaa
nurisaocta_____,widiwww mantapp
mimiwsaberhagen,I love house of pet
roosyriupassa,Zupeeeerbbbbb 👍🏽👍🏽👍🏽
deasyersya13,Terbhaaaaeeeek
devymdilla,Waaah luar biasa HOP 👏🏻👏🏻👏🏻
susilow9094,Keren semoga tambah sukses
ismaprasthani,Mantap
wulan_dwi_sekar_wangi,Waaaw luar biasa....keren sekali HOP
nunungweasley,Alhamdulillaah... sukses terus @houseofpetmalang 👍❤❤❤❤❤❤
